video_id,title,channel_title,views,likes,dislikes,ratings_disabled,latest_trend_year,latest_trend_month,latest_trend_day,num_trend_days
8Y5-GI9hYcI,"Abraham Mateo, Yandel, Jennifer Lopez - Se Acabó el Amor",AbrahamMateoVEVO,29075706,304469.0,14239.0,False,2018,5,15,18
8_rTIAOohas,Marvel Studios' Ant-Man and the Wasp - Official Trailer,Marvel Entertainment,8842980,284040.0,5096.0,False,2018,2,4,5
8eo-L_3OWAQ,Lucky the iPhone singing cockatiel is OVER it!,Ben Pluimer,4376750,52381.0,3744.0,False,2018,1,2,13
8fbyfDbi-MI,Lift Yourself,Kanye West - Topic,7127666,130249.0,39174.0,False,2018,5,19,18
8h--kFui1JA,Sam Smith - Pray (Official Video) ft. Logic,SamSmithWorldVEVO,20934803,359012.0,9294.0,False,2018,6,8,29
8ll04Zzw5UM,Lady Gaga - Joanne (Where Do You Think You’re Goin’?) (Piano Version),LadyGagaVEVO,4416051,218247.0,5076.0,False,2018,2,2,8
8mhTWqWlQzU,Wearing Online Dollar Store Makeup For A Week,Safiya Nygaard,3031863,121285.0,1186.0,False,2017,11,16,3
8nsWMmFYRqE,Camila Cabello - Something's Gotta Give (Audio),CamilaCabelloVEVO,3742064,155330.0,1583.0,False,2018,1,18,6
8sg8lY-leE8,Vermilion Parish teacher gets arrested at Vermilion Parish school  board meeting,Chris Rosa,2949050,29493.0,2378.0,False,2018,1,16,5
8uBP6UL-jEU,Black Panther New Scene - SNL,Saturday Night Live,3745968,50925.0,5906.0,False,2018,3,20,9
8x7UtZKwfHA,World's Biggest Fortnite Gaming Setup!,Unbox Therapy,3052453,74933.0,5678.0,False,2018,5,5,5
8z_cg5CypRc,Kelly Clarkson Carpool Karaoke,The Late Late Show with James Corden,3074263,96530.0,1011.0,False,2017,12,1,1
90CCjgX0n20,OUR FAMILY. #MYCALVINS: Kardashian / Jenner,Calvin Klein,13124176,22664.0,17917.0,False,2018,1,29,5
9H2SSvQ8ihA,"Uncle Drew (2018 Movie) Official Trailer – Kyrie Irving, Shaquille O’Neal, Tiffany Haddish",Lionsgate Movies,7138640,11645.0,520.0,False,2018,5,3,5
